PROJECT NAME,text,image,audiovisual,3D,metadata,ontology,PROCESS,PURPOSES,TOOLS,AUDIENCE,TARGET,EVALUATION,PUBLISHED,REFERENCE
"Thematic Pathways on the Web (Vatican DL)
https://spotlight.vatlib.it/it ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,"commenting, tagging, transcribing/translating",Mirador,public,domain expert,FALSE,published,"https://doi.org/10.4403/jlis.it-12770 
https://doi.org/10.36181/digitalia-00017"
From Data to Wisdom,FALSE,TRUE,FALSE,FALSE,Custom Taxonomy ,,manual,tagging,Custom,public,"domain expert, curation manager, special-purpose user, casual user",TRUE,published without prototype,https://doi.org/10.6092/issn.2532-8816/17230
"MMMonk Liber Floridus
https://www.mmmonk.be/en/about-iiif/iiif-demo-liber-floridus ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,"commenting, associating, transcribing/translating, tagging",Mirador,public,"domain expert, curation manager",TRUE,prototype,
"Late Hokusai (RSpace)
https://latehokusai.researchspace.org/resource/rsp:Start",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,CIDOC-CRM ,manual,"tagging, commenting,  transcribing/translating, associating",Mirador,"private, public, collaborative","domain expert, curation manager, special-purpose user, casual user",TRUE,published,"https://doi.org/10.11588/dah.2019.4.72071 
https://doi.org/10.1007/978-3-030-00668-6_20"
"The Life of the Buddha
http://lotb.iath.virginia.edu/mirador_viewer/mirador?manifest=1&room_id=1",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,"commenting, transcribing/translating, associating",Mirador,public,"domain expert, special-purpose user, curation manager",TRUE,published,https://doi.org/10.1515/9783110573022-006
"Ten Thousand Rooms Project
https://tenthousandrooms.yale.edu/ ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,"transcribing/translating, commenting, associating",Mirador,"collaborative, private, public","casual user, special-purpose user, domain expert",FALSE,published,https://doi.org/10.1017/jch.2020.25 
"Digital Dickens Notes Project
https://www.dickensnotes.com/ ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,commenting,Annonatate,public,domain expert,FALSE,published,https://doi.org/10.5325/victinstj.49.2022.0210 
"e-codices
https://www.e-codices.ch/it/annotations ",FALSE,TRUE,FALSE,FALSE,,,manual,commenting,Custom,public,casual user,FALSE,published,https://doi.org/10.1353/dph.2017.0013 
"Parker Library on the Web
https://exhibits.stanford.edu/parker ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,commenting,Mirador,public,"domain expert, curation manager",FALSE,published,https://doi.org/10.4324/9781003003441-5
"Digital Library of Medieval Manuscripts 
https://dlmm.library.jhu.edu/ ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,manual,"commenting, transcribing/translating",Mirador,public,domain expert,FALSE,published,"https://doi.org/10.1353/dph.2012.0003
https://doi.org/10.1353/dph.2017.0000"
"Amara West (RSpace for British Museum)
https://amara-west.researchspace.org/resource/rsp:Start",FALSE,TRUE,FALSE,TRUE,Web Annotation Data Model,CIDOC-CRM ,manual,"associating, commenting, tagging","Mirador, Custom","public, collaborative","domain expert, curation manager, special-purpose user, casual user",FALSE,published,https://www.repository.cam.ac.uk/items/03ac12f1-7cf4-4f33-91de-29bf86f43cd0 
"BNF Mandragore
https://mandragore.bnf.fr/ ",FALSE,TRUE,FALSE,FALSE,Web Annotation Data Model,,semi-automatic,tagging,Mirador,public,domain expert,FALSE,published,https://doi.org/10.58079/r889 
"Les décors Karbowsky
https://karbowsky.inha.fr/ ",FALSE,TRUE,FALSE,FALSE,,,manual,"commenting, tagging",Custom,public,domain expert,FALSE,published,https://doi.org/10.58079/sgvi
